,sequence,error,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8,seq9,seq10,seq11,seq12,seq13,seq14,seq15,seq16,seq17,start_coords1.x,start_coords1.y,start_coords1.z,start_coords2.x,start_coords2.y,start_coords2.z,start_coords3.x,start_coords3.y,start_coords3.z,start_coords4.x,start_coords4.y,start_coords4.z,start_coords5.x,start_coords5.y,start_coords5.z,start_coords6.x,start_coords6.y,start_coords6.z,start_coords7.x,start_coords7.y,start_coords7.z,start_coords8.x,start_coords8.y,start_coords8.z,start_coords9.x,start_coords9.y,start_coords9.z,start_coords10.x,start_coords10.y,start_coords10.z,start_coords11.x,start_coords11.y,start_coords11.z,start_coords12.x,start_coords12.y,start_coords12.z,start_coords13.x,start_coords13.y,start_coords13.z,start_coords14.x,start_coords14.y,start_coords14.z,start_coords15.x,start_coords15.y,start_coords15.z,start_coords16.x,start_coords16.y,start_coords16.z,start_coords17.x,start_coords17.y,start_coords17.z,t.containment,t.strong_k,t.mid_k,t.food_k,o.containment,o.strong_k,o.mid_k,o.food_k,y.containment,y.strong_k,y.mid_k,y.food_k,u.containment,u.strong_k,u.mid_k,u.food_k,l.containment,l.strong_k,l.mid_k,l.food_k,d.containment,d.strong_k,d.mid_k,d.food_k,p.containment,p.strong_k,p.mid_k,p.food_k,m.containment,m.strong_k,m.mid_k,m.food_k,c.containment,c.strong_k,c.mid_k,c.food_k,i.containment,i.strong_k,i.mid_k,i.food_k,2.containment,2.strong_k,2.mid_k,2.food_k,k.containment,k.strong_k,k.mid_k,k.food_k,a.containment,a.strong_k,a.mid_k,a.food_k,v.containment,v.strong_k,v.mid_k,v.food_k,h.containment,h.strong_k,h.mid_k,h.food_k,e.containment,e.strong_k,e.mid_k,e.food_k,",.containment",",.strong_k",",.mid_k",",.food_k",n.containment,n.strong_k,n.mid_k,n.food_k,s.containment,s.strong_k,s.mid_k,s.food_k,w.containment,w.strong_k,w.mid_k,w.food_k,g.containment,g.strong_k,g.mid_k,g.food_k,r.containment,r.strong_k,r.mid_k,r.food_k,b.containment,b.strong_k,b.mid_k,b.food_k,_.containment,_.strong_k,_.mid_k,_.food_k,f.containment,f.strong_k,f.mid_k,f.food_k,coordinates_plate.x,coordinates_plate.y,coordinates_plate.z,coordinates_plate_small.x,coordinates_plate_small.y,coordinates_plate_small.z,coordinates_cup.x,coordinates_cup.y,coordinates_cup.z,coordinates_glass.x,coordinates_glass.y,coordinates_glass.z,coordinates_knife.x,coordinates_knife.y,coordinates_knife.z,coordinates_spoon_small.x,coordinates_spoon_small.y,coordinates_spoon_small.z,coordinates_wineglass.x,coordinates_wineglass.y,coordinates_wineglass.z,coordinates_fork.x,coordinates_fork.y,coordinates_fork.z,coordinates_spoon.x,coordinates_spoon.y,coordinates_spoon.z,coordinates_tray.x,coordinates_tray.y,coordinates_tray.z,coordinates_fork_small.x,coordinates_fork_small.y,coordinates_fork_small.z,coordinates_napkin.x,coordinates_napkin.y,coordinates_napkin.z,coordinates_silverware.x,coordinates_silverware.y,coordinates_silverware.z,coordinates_placemat.x,coordinates_placemat.y,coordinates_placemat.z,coordinates_container.x,coordinates_container.y,coordinates_container.z,coordinates_table_cloth.x,coordinates_table_cloth.y,coordinates_table_cloth.z,coordinates_cereal.x,coordinates_cereal.y,coordinates_cereal.z,coordinates_cutting_board.x,coordinates_cutting_board.y,coordinates_cutting_board.z,coordinates_can.x,coordinates_can.y,coordinates_can.z,coordinates_bowl.x,coordinates_bowl.y,coordinates_bowl.z,coordinates_bottle.x,coordinates_bottle.y,coordinates_bottle.z,coordinates_tomato_plate.x,coordinates_tomato_plate.y,coordinates_tomato_plate.z,coordinates_milk.x,coordinates_milk.y,coordinates_milk.z,coordinates_grapes.x,coordinates_grapes.y,coordinates_grapes.z,coordinates_yoghurt.x,coordinates_yoghurt.y,coordinates_yoghurt.z,coordinates_blueberries.x,coordinates_blueberries.y,coordinates_blueberries.z,coordinates_bananas.x,coordinates_bananas.y,coordinates_bananas.z,coordinates_apricots.x,coordinates_apricots.y,coordinates_apricots.z,coordinates_tupperware.x,coordinates_tupperware.y,coordinates_tupperware.z,coordinates_bread.x,coordinates_bread.y,coordinates_bread.z,coordinates_salad.x,coordinates_salad.y,coordinates_salad.z,coordinates_oil.x,coordinates_oil.y,coordinates_oil.z,coordinates_water.x,coordinates_water.y,coordinates_water.z,coordinates_beer.x,coordinates_beer.y,coordinates_beer.z,coordinates_cheese.x,coordinates_cheese.y,coordinates_cheese.z,coordinates_biscuit.x,coordinates_biscuit.y,coordinates_biscuit.z,coordinates_food.x,coordinates_food.y,coordinates_food.z,coordinates_plate2.x,coordinates_plate2.y,coordinates_plate2.z,coordinates_drink.x,coordinates_drink.y,coordinates_drink.z
77,"plate,wineglass,glass,fork_small,spoon_small,knife,spoon",0.756,plate,wineglass,glass,fork_small,spoon_small,knife,spoon,,,,,,,,,,,-0.451354,-0.413918,0.156247,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,,,,,,,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.008041,0.9296049999999999,0.68902,,,,,,,-0.595001,1.233,0.468999,-0.07699199999999999,0.733425,0.531662,-0.606068,0.743321,0.524829,-0.05700499999999999,1.35572,0.46601800000000004,,,,0.10966,0.7466,0.505875,,,,-0.7940520000000001,0.7428739999999999,0.503884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"plate,plate_small,cup,tray,fork,knife,fork,knife,spoon_small,wineglass,glass",0.838,plate,plate_small,cup,tray,fork,knife,fork,knife,spoon_small,wineglass,glass,,,,,,,-0.451354,-0.413918,0.156247,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,,,,,,,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.008041,0.9296049999999999,0.68902,-0.18499200000000002,0.915077,0.481025,-0.66,0.9232809999999999,0.438,-0.595001,1.233,0.468999,-0.030993,0.7334229999999999,0.530651,-0.500441,0.743324,0.5217109999999999,-0.05700499999999999,1.35572,0.46601800000000004,-0.165225,0.7442479999999999,0.557615,,,,-0.649,1.52939,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"plate,wineglass,fork,knife,spoon,plate_small,cup,spoon_small",0.785,plate,wineglass,fork,knife,spoon,plate_small,cup,spoon_small,,,,,,,,,,-0.451354,-0.413918,0.156247,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,0.513,-0.531,0.74,,,,,,,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.008041,0.9296049999999999,0.68902,-0.185,0.928,0.48103500000000005,-0.66,0.9232809999999999,0.438,,,,-0.07699199999999999,0.733425,0.531662,-0.606068,0.743321,0.524829,-0.196022,1.35572,0.466005,-0.251825,0.744246,0.557668,0.071911,0.746328,0.519848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"tray,napkin,plate,silverware,cup",0.666,tray,napkin,plate,silverware,cup,,,,,,,,,,,,,2.0,1.5,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.0,4.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"tray,napkin,plate,cup,silverware",0.666,tray,napkin,plate,cup,silverware,,,,,,,,,,,,,2.0,1.5,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.0,4.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"tray,napkin,plate,silverware,cup",0.666,tray,napkin,plate,silverware,cup,,,,,,,,,,,,,2.0,1.5,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.0,4.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"tray,napkin,silverware,plate,cup",0.666,tray,napkin,silverware,plate,cup,,,,,,,,,,,,,2.0,1.5,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,4.0,4.0,,,,1.0,4.0,4.0,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,1.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"plate,placemat,silverware",0.44,plate,placemat,silverware,,,,,,,,,,,,,,,3.0,3.0,1.0,2.0,2.0,2.0,3.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,4.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"container,table_cloth,cup,silverware,cereal",0.666,container,table_cloth,cup,silverware,cereal,,,,,,,,,,,,,4.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,,,,,,,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,,,,0.0,5.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"plate,cutting_board,table_cloth,silverware",0.605,plate,cutting_board,table_cloth,silverware,,,,,,,,,,,,,,2.0,0.0,0.0,3.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,,,,,,,4.0,3.0,1.0,,,,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"table_cloth,silverware,can,plate",0.605,table_cloth,silverware,can,plate,,,,,,,,,,,,,,0.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,4.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,,,,,,,4.0,3.0,1.0,,,,,,,0.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"plate,bowl,silverware",0.44,plate,bowl,silverware,,,,,,,,,,,,,,,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"plate,glass,silverware",0.44,plate,glass,silverware,,,,,,,,,,,,,,,0.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.0,3.0,2.0,,,,,,,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"plate,napkin,silverware,glass,bottle",0.666,plate,napkin,silverware,glass,bottle,,,,,,,,,,,,,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2.0,3.0,2.0,,,,,,,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"tomato_plate,napkin,silverware,glass,grapes,milk,plate",0.723,tomato_plate,napkin,silverware,glass,grapes,milk,plate,,,,,,,,,,,0.0,2.0,2.0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0,1.0,2.0,,,,,,,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"plate,napkin,yoghurt,silverware",0.605,plate,napkin,yoghurt,silverware,,,,,,,,,,,,,,0.0,2.0,2.0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"napkin,fork,plate,yoghurt,milk,blueberries,spoon",0.756,napkin,fork,plate,yoghurt,milk,blueberries,spoon,,,,,,,,,,,0.0,4.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,0.0,3.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,0.0,1.0,2.0,0.0,1.0,2.0,,,,,,,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,,,,0.0,4.0,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"placemat,cup,bananas,apricots,tupperware,plate",0.723,placemat,cup,bananas,apricots,tupperware,plate,,,,,,,,,,,,0.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.0,0.0,2.0,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"plate,cup,silverware,bread,salad,oil,water,beer,glass",0.806,plate,cup,silverware,bread,salad,oil,water,beer,glass,,,,,,,,,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.0,2.0,3.0,,,,0.0,0.0,3.0,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,
96,"salad,water,glass,plate,silverware",0.666,salad,water,glass,plate,silverware,,,,,,,,,,,,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,3.0,2.0,,,,,,,0.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,2.0,,,,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,
97,"plate,cup",0.25,plate,cup,,,,,,,,,,,,,,,,1.0,3.1,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,3.0,2.0,,,,0.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
